customer_id,name,email,phone,address,registration_date,loyalty_status,country_code,transaction_id,amount,transaction_date,product_category,payment_method,store_location
1,Michelle Kidd,vayala@example.net,+971 6197234258,"USNS Santiago, FPO AE 80872",25-01-2025,Gold,AE,8,2652.57,2025-04-19 14:46:00,Home,Credit Card,New York
4,Kimberly Price,jessicaknight@example.com,+1 4232229779,"1631 Alexis Meadows, Lake Amanda, CA 75179",08-12-2024,Gold,CA,427,1787.09,2025-04-28 04:34:07,Beauty,PayPal,Chicago
5,Matthew Phillips,qwilliams@example.com,+1 2207633522,"2274 Williams Heights Suite 895, Andersonhaven, OR 80565",03-02-2024,Gold,OR,452,1983.52,2025-02-03 14:59:13,Sports,PayPal,Online
7,Louis Miller,patriciaelliott@example.org,+1 1988627105,"02590 Marshall Well, Sheppardland, CT 88067",30-09-2024,Gold,CT,470,3241.66,2025-05-15 15:17:05,Electronics,PayPal,Los Angeles
10,Rachel White,whitemichael@example.org,+972 4107299740,"6182 Brown Mountain, South Gary, IL 29016",25-02-2024,Bronze,IL,173,3456.05,2025-04-15 19:26:48,Home,Debit Card,Online
10,Rachel White,whitemichael@example.org,+972 4107299740,"6182 Brown Mountain, South Gary, IL 29016",25-02-2024,Bronze,IL,548,2954.52,2025-05-21 22:54:54,Sports,Debit Card,Miami
12,Christine Delgado,yfarrell@example.net,+1 3108349008,"PSC 4025, Box 2078, APO AA 61121",18-04-2024,Bronze,AA,126,3696.64,2025-02-15 19:59:56,Beauty,Cash,Online
12,Christine Delgado,yfarrell@example.net,+1 3108349008,"PSC 4025, Box 2078, APO AA 61121",18-04-2024,Bronze,AA,560,2532.5501263157894,2025-02-08 02:57:55,Beauty,Debit Card,Miami
13,Joseph Brennan,khernandez@example.com,+691 4867891647,"8890 Keller Hills, North Paul, FM 64749",28-04-2024,Gold,FM,301,2532.5501263157894,2025-03-18 04:40:03,Beauty,Debit Card,Chicago
15,Laura Perez,sdavid@example.com,+691 3193105560,"1518 Green Locks Suite 348, New Brent, FM 51849",04-12-2024,Gold,FM,504,3194.72,2025-06-01 14:13:06,Beauty,Debit Card,Online
