customer_id,name,email,phone,address,registration_date,loyalty_status,country_code
1,Michelle Kidd,vayala@example.net,+971 6197234258,"USNS Santiago, FPO AE 80872",25-01-2025,Gold,AE
2,Brad Newton,taylorcatherine@example.net,+356 5376741158,"38783 Oliver Street, West Kristenborough, MT 99752",13-07-2023,Silver,MT
3,Larry Torres,dsanchez@example.net,+1 8102564505,"6845 Steele Turnpike, West Erikabury, UT 37487",18-08-2023,Bronze,UT
4,Kimberly Price,jessicaknight@example.com,+1 4232229779,"1631 Alexis Meadows, Lake Amanda, CA 75179",08-12-2024,Gold,CA
5,Matthew Phillips,qwilliams@example.com,+1 2207633522,"2274 Williams Heights Suite 895, Andersonhaven, OR 80565",03-02-2024,Gold,OR
6,Darrell Gallagher DVM,larryharris@example.org,+212 3799503695,"19887 Brandon Bridge, New Rebecca, MA 94947",03-03-2025,Bronze,MA
7,Louis Miller,patriciaelliott@example.org,+1 1988627105,"02590 Marshall Well, Sheppardland, CT 88067",30-09-2024,Gold,CT
8,Melissa Galloway MD,watsonbenjamin@example.net,+687 5485499586,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",06-10-2023,Bronze,NC
9,Matthew Harvey,bgaines@example.net,+1 5811447338,"60123 Davis Ford, Mistychester, WA 69400",31-10-2024,Silver,WA
10,Rachel White,whitemichael@example.org,+972 4107299740,"6182 Brown Mountain, South Gary, IL 29016",25-02-2024,Bronze,IL
11,Nicole Yang,archerheather@example.org,+1 5896387173,"923 Emily Mills Apt. 281, Port Roy, WI 03921",08-03-2025,Bronze,WI
12,Christine Delgado,yfarrell@example.net,+1 3108349008,"PSC 4025, Box 2078, APO AA 61121",18-04-2024,Bronze,AA
13,Joseph Brennan,khernandez@example.com,+691 4867891647,"8890 Keller Hills, North Paul, FM 64749",28-04-2024,Gold,FM
14,Eric Thomas,spencer75@example.com,+57 4341305478,"352 Joel Extension Suite 962, New Anthony, CO 33299",09-05-2024,Bronze,CO
15,Laura Perez,sdavid@example.com,+691 3193105560,"1518 Green Locks Suite 348, New Brent, FM 51849",04-12-2024,Gold,FM
16,Erin Matthews,uhunter@example.net,+972 4807803711,"67623 Morgan Hollow, Hillshire, IL 78665",12-11-2023,Bronze,IL
17,Melissa Alvarado,parkjohn@example.net,+1 4118574974,"USNS Austin, FPO AP 52643",24-06-2024,Gold,AP
18,Mr. Ernest Dunn,kelseybrown@example.net,+1 6875437471,"3112 Lydia Freeway Suite 927, South Susan, RI 11726",27-01-2025,Gold,RI
19,David Johnson,marynelson@example.org,+680 2444392274,"992 Harris Pines Suite 049, North Marychester, PW 73177",21-02-2025,Silver,PW
20,Wayne Morales,qwilliams@example.com,+1 8755593832,"15344 Hill Pike, Matthewport, FL 45434",22-02-2025,Gold,FL
21,Michael Vincent,jonesjeffrey@example.com,+1 6859354111,"455 Moore Orchard, New Richardhaven, RI 42023",13-06-2024,Silver,RI
22,Tammie Mcgee,nsullivan@example.com,+356 1768402659,"6371 Long Path Apt. 940, South Anthonyton, MT 86683",24-10-2024,Silver,MT
