customer_id,name,email,phone,address,registration_date,loyalty_status
1,Michelle Kidd,vayala@example.net,6197234258,"USNS Santiago, FPO AE 80872",25-01-2025,Gold
2,Brad Newton,taylorcatherine@example.net,5376741158,"38783 Oliver Street, West Kristenborough, MT 99752",13-07-2023,Silver
3,Larry Torres,dsanchez@example.net,8102564505,"6845 Steele Turnpike, West Erikabury, UT 37487",18-08-2023,Bronze
4,Kimberly Price,jessicaknight@example.com,4232229779,"1631 Alexis Meadows, Lake Amanda, CA 75179",08-12-2024,Gold
5,Matthew Phillips,qwilliams@example.com,2207633522,"2274 Williams Heights Suite 895, Andersonhaven, OR 80565",03-02-2024,Gold
6,Darrell Gallagher DVM,larryharris@example.org,3799503695,"19887 Brandon Bridge, New Rebecca, MA 94947",03-03-2025,Bronze
7,Louis Miller,patriciaelliott@example.org,1988627105,"02590 Marshall Well, Sheppardland, CT 88067",30-09-2024,Gold
8,Melissa Galloway MD,watsonbenjamin@example.net,5485499586,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",06-10-2023,Bronze
9,Matthew Harvey,bgaines@example.net,5811447338,"60123 Davis Ford, Mistychester, WA 69400",31-10-2024,Silver
10,Rachel White,whitemichael@example.org,4107299740,"6182 Brown Mountain, South Gary, IL 29016",25-02-2024,Bronze
11,Nicole Yang,archerheather@example.org,5896387173,"923 Emily Mills Apt. 281, Port Roy, WI 03921",08-03-2025,Bronze
12,Christine Delgado,yfarrell@example.net,3108349008,"PSC 4025, Box 2078, APO AA 61121",18-04-2024,Bronze
13,Joseph Brennan,khernandez@example.com,4867891647,"8890 Keller Hills, North Paul, FM 64749",28-04-2024,Gold
14,Eric Thomas,spencer75@example.com,4341305478,"352 Joel Extension Suite 962, New Anthony, CO 33299",09-05-2024,Bronze
15,Laura Perez,sdavid@example.com,3193105560,"1518 Green Locks Suite 348, New Brent, FM 51849",04-12-2024,Gold
16,Erin Matthews,uhunter@example.net,4807803711,"67623 Morgan Hollow, Hillshire, IL 78665",12-11-2023,Bronze
17,Melissa Alvarado,parkjohn@example.net,4118574974,"USNS Austin, FPO AP 52643",24-06-2024,Gold
18,Mr. Ernest Dunn,kelseybrown@example.net,6875437471,"3112 Lydia Freeway Suite 927, South Susan, RI 11726",27-01-2025,Gold
19,David Johnson,marynelson@example.org,2444392274,"992 Harris Pines Suite 049, North Marychester, PW 73177",21-02-2025,Silver
20,Wayne Morales,qwilliams@example.com,8755593832,"15344 Hill Pike, Matthewport, FL 45434",22-02-2025,Gold
21,Michael Vincent,jonesjeffrey@example.com,6859354111,"455 Moore Orchard, New Richardhaven, RI 42023",13-06-2024,Silver
22,Tammie Mcgee,nsullivan@example.com,1768402659,"6371 Long Path Apt. 940, South Anthonyton, MT 86683",24-10-2024,Silver
23,Marisa Martinez,zward@example.org,2216091291,"5029 Wall Mountain Suite 847, New Chelseabury, IA 90393",29-03-2025,Bronze
24,Crystal Peterson,taylorcharles@example.com,4307111833,"Unit 5741 Box 1124, DPO AA 18219",07-08-2023,Bronze
25,Jeremy Alexander,smithkevin@example.com,1199699309,"1520 Reid Turnpike, Clarkville, CA 39102",13-06-2025,Silver
26,James Graham,chawkins@example.net,9976567695,"2809 Young Squares, Lisaside, VA 53732",10-03-2024,Gold
27,William Morrison,browningdavid@example.org,4866768923,"76577 Keith Falls, West Melissashire, NC 55275",01-08-2024,Gold
28,Brandon Hall,brandonhall@example.com,9741233048,"8143 Robert Cove Apt. 103, Sanchezport, CO 78231",07-04-2024,Gold
29,Morgan Wilson,michelle12@example.net,2584802466,"05880 Hudson Row, Jessefurt, KS 54128",04-11-2024,Silver
30,Heather Hill,qwillis@example.com,4424568115,"4339 Brown Crescent, Lambchester, SD 62832",15-12-2024,Silver
31,Louis Beasley,bjones@example.net,2343113270,"71975 Smith Drive Suite 746, Bairdmouth, MP 70886",18-09-2023,Bronze
32,Julie Shelton,ryanpatel@example.net,3071035146,"USNS Brown, FPO AP 55711",02-12-2024,Gold
33,Erin Stephens,kyle83@example.com,6494438577,"5911 Amy Creek Suite 329, Michaelside, CO 25722",02-08-2024,Silver
34,Christopher Powers,nsimmons@example.com,3412772276,"27599 David Mews, Juliefort, AL 92098",09-06-2024,Silver
35,Rachel Lang,huntcourtney@example.org,3437768211,"PSC 5662, Box 7419, APO AA 70596",13-11-2024,Silver
36,Christopher Clark,christopherclark@example.com,1196093438,"2325 Danielle Knolls Suite 719, Gabrielleview, MT 11649",13-01-2024,Gold
37,Jessica Hardy,cherylray@example.org,2448757801,"8293 Martin Ridges Apt. 444, Lake Erikfort, MH 63270",13-08-2024,Gold
38,Paul Collins,brittanychase@example.com,9958207641,"895 Anthony Lodge Suite 819, North Cassandra, TX 86555",05-07-2024,Bronze
39,Lauren Fisher,wesley32@example.net,4695073423,"9633 Victoria Loop Apt. 271, Hannahside, MS 96656",14-06-2025,Gold
40,Amy Gates,jesse14@example.org,8721983028,"69324 Jennifer Plaza Apt. 905, Haroldview, MD 67322",24-11-2024,Gold
41,Breanna Elliott,mark59@example.net,9845329433,"29664 Lauren Mountain Apt. 243, West Mary, NV 57114",19-11-2024,Silver
42,Mr. Andrew Austin,heather79@example.com,7789181895,"200 Thomas Flat, South James, MP 96716",12-06-2025,Gold
43,Kelsey Young,mckeeconnie@example.org,2194201723,"8806 Davis Fall Suite 188, East Brenda, WI 95051",04-12-2024,Gold
44,Travis Neal,stewartkeith@example.org,1181057470,"1024 Cynthia Way, East Christina, HI 44699",13-01-2025,Bronze
45,Gordon Logan,robert26@example.org,3065497811,"8399 Christopher Cliff Suite 911, Joshuashire, GU 04822",24-06-2023,Silver
46,Felicia Noble,taylorcatherine@example.net,1289103340,"Unit 7244 Box 4360, DPO AP 11537",23-10-2023,Gold
47,Robin Hill,brownselena@example.net,9667519199,"93477 Jose Ville Suite 818, Bethanyton, GA 79420",22-04-2024,Silver
48,Julie Hardy,robert73@example.net,4374182029,"167 Lisa Orchard Suite 613, Meredithport, MT 25662",03-12-2023,Gold
49,Kevin Smith,joannewolfe@example.net,2075651691,"346 Hill Meadow Suite 327, Port Kari, MP 75439",17-08-2023,Bronze
50,Valerie Lee,jason40@example.org,4063886679,"805 Silva Alley Suite 967, Kennethstad, ND 46111",06-04-2025,Gold
51,David Garza,davidgarza@example.com,3526386388,"USS Williams, FPO AA 77634",24-10-2023,Silver
